ep,total_reward,progress_sum,success_sum,collision_flag,steps,eps
1,-203.355,-3.5,0.0,1,72,0.9996
2,-190.1136,12.2914,0.0,1,382,0.9971
3,-211.5985,-10.6421,0.0,1,156,0.9962
4,-204.7191,-4.9691,0.0,1,51,0.9958
5,-214.6983,-14.7233,0.0,1,96,0.9952
6,-211.5844,-11.5394,0.0,1,110,0.9945
7,-206.0555,-5.1448,0.0,1,211,0.9932
8,-210.0594,-9.6644,0.0,1,180,0.9921
9,-204.71,-5.0,0.0,1,43,0.9918
10,-206.2439,-6.4739,0.0,1,55,0.9915
11,-220.1818,-19.8318,0.0,1,171,0.9904
12,-186.4146,14.3991,0.0,1,260,0.9888
13,-208.2399,-7.6799,0.0,1,213,0.9874
14,-211.6005,-11.5805,0.0,1,105,0.9868
15,-170.4512,32.2488,0.0,1,441,0.984
16,-217.0352,-16.3552,0.0,1,237,0.9825
17,-207.275,-7.5,0.0,1,56,0.9822
18,-219.9658,-19.8508,0.0,1,124,0.9814
19,-162.2731,39.6619,0.0,1,288,0.9796
20,-212.7193,-12.0928,0.0,1,209,0.9783
21,-204.99,-5.0,0.0,1,99,0.9777
22,-216.7114,-16.3664,0.0,1,170,0.9767
23,-205.085,-5.5,0.0,1,18,0.9766
24,-211.5702,-11.4216,0.0,1,122,0.9758
25,-204.4217,-3.5189,0.0,1,248,0.9743
26,-198.9021,2.4807,0.0,1,296,0.9725
27,-204.67,-5.0,0.0,1,35,0.9722
28,-211.0369,-10.5156,0.0,1,162,0.9713
29,-208.23,-8.5,0.0,1,47,0.971
30,-205.82,-6.0,0.0,1,65,0.9706
31,-141.5382,60.8568,0.0,1,380,0.9682
32,-203.0345,-3.1495,0.0,1,78,0.9678
33,-213.7089,-13.6389,0.0,1,115,0.9671
34,-195.1124,6.4129,0.0,1,341,0.965
35,-207.0903,-7.1103,0.0,1,97,0.9644
36,-201.8845,-1.106,0.0,1,135,0.9636
37,-211.6997,-11.3047,0.0,1,180,0.9625
38,-215.9298,-15.6648,0.0,1,154,0.9615
39,-217.8813,-17.3363,0.0,1,210,0.9603
40,-218.1934,-17.8734,0.0,1,165,0.9593
41,-197.5332,2.8818,0.0,1,184,0.9581
42,-210.2849,-9.7084,0.0,1,156,0.9572
43,-216.5195,-16.3045,0.0,1,144,0.9563
44,-201.9211,-2.0311,0.0,1,79,0.9558
45,-215.6044,-15.4994,0.0,1,122,0.9551
46,-203.2895,-2.4534,0.0,1,249,0.9536
47,-217.1659,-15.9818,0.0,1,177,0.9525
48,-216.293,-15.5981,0.0,1,224,0.9512
49,-217.7753,-17.4353,0.0,1,169,0.9502
50,-207.0619,-6.9619,0.0,1,121,0.9495
51,-218.2882,-17.8232,0.0,1,194,0.9483
52,-183.1381,18.375,0.0,1,274,0.9467
53,-201.9327,-1.3227,0.0,1,223,0.9453
54,-124.7152,79.1098,0.0,1,666,0.9414
55,-206.855,-7.0,0.0,1,72,0.9409
56,-220.1975,-19.9825,0.0,1,144,0.9401
57,-215.7864,-15.6464,0.0,1,129,0.9393
58,-209.6499,-9.4699,0.0,1,137,0.9385
59,-193.9829,6.5221,0.0,1,102,0.9379
60,-214.8397,-14.3497,0.0,1,199,0.9367
61,-206.7236,-6.9786,0.0,1,50,0.9364
62,-208.735,-8.0,0.0,1,248,0.935
63,-160.8034,41.1766,0.0,1,297,0.9332
64,-201.0307,-0.5507,0.0,1,197,0.932
65,-213.7902,-13.1402,0.0,1,231,0.9307
66,-210.9671,-10.4271,0.0,1,209,0.9295
67,-204.9858,-5.2158,0.0,1,55,0.9291
68,-209.8003,-9.9903,0.0,1,63,0.9288
69,-197.7723,4.0927,0.0,1,474,0.926
70,-209.8336,-9.9786,0.0,1,72,0.9256
71,-206.6953,-6.5353,0.0,1,133,0.9248
